vendor_id,vendor_state,is_vendor_smb,vendor_created,location_id,location_timezone,location_sunday_open,location_sunday_closed,location_monday_open,location_monday_closed,location_tuesday_open,location_tuesday_closed,location_wednesday_open,location_wednesday_closed,location_thursday_open,location_thursday_closed,location_friday_open,location_friday_closed,location_saturday_open,location_saturday_closed,location_is_active,location_created_at,location_updated_at
2591,live,0,2021-05-10 17:52:36,6741,America/Toronto,,,,,,,,,,,,,,,1,2021-05-23 16:56:40,2024-04-17 19:43:25
2591,live,0,2021-05-10 17:52:36,6743,America/Toronto,,,,,,,,,,,,,,,1,2021-05-23 16:56:40,2021-11-03 17:04:51
2591,live,0,2021-05-10 17:52:36,6757,America/Toronto,,,,,,,,,,,,,,,1,2021-05-23 16:56:45,2023-09-18 17:39:37
2591,live,0,2021-05-10 17:52:36,6758,America/Toronto,,,,,,,,,,,,,,,1,2021-05-23 16:56:45,2025-07-24 14:59:18
2591,live,0,2021-05-10 17:52:36,6762,America/Toronto,,,,,,,,,,,,,,,1,2021-05-23 16:56:46,2021-11-03 17:04:51
2591,live,0,2021-05-10 17:52:36,6763,America/Toronto,,,,,,,,,,,,,,,1,2021-05-23 16:56:46,2022-09-14 16:19:14
2591,live,0,2021-05-10 17:52:36,6772,America/Toronto,,,,,,,,,,,,,,,1,2021-05-23 16:56:48,2021-11-03 17:04:52
2591,live,0,2021-05-10 17:52:36,6785,America/Toronto,,,,,,,,,,,,,,,1,2021-05-23 16:56:51,2021-11-03 17:04:52
2591,live,0,2021-05-10 17:52:36,6786,America/Toronto,,,,,,,,,,,,,,,1,2021-05-23 16:56:51,2021-11-03 17:04:52
2591,live,0,2021-05-10 17:52:36,6828,America/Edmonton,,,,,,,,,,,,,,,1,2021-05-23 16:56:59,2025-07-24 15:12:57
2591,live,0,2021-05-10 17:52:36,6837,America/Edmonton,,,,,,,,,,,,,,,1,2021-05-23 16:57:02,2025-07-24 17:03:34
2591,live,0,2021-05-10 17:52:36,6843,America/Vancouver,,,,,,,,,,,,,,,1,2021-05-23 16:57:03,2021-11-03 17:04:54
2591,live,0,2021-05-10 17:52:36,6847,America/Vancouver,,,,,,,,,,,,,,,1,2021-05-23 16:57:05,2024-02-07 18:50:38
2591,live,0,2021-05-10 17:52:36,6849,America/Vancouver,,,,,,,,,,,,,,,1,2021-05-23 16:57:05,2022-05-25 19:18:39
2591,live,0,2021-05-10 17:52:36,6859,America/Vancouver,,,,,,,,,,,,,,,1,2021-05-23 16:57:10,2024-10-07 18:38:28
2591,live,0,2021-05-10 17:52:36,6862,America/Toronto,,,,,,,,,,,,,,,1,2021-05-23 16:57:10,2025-06-25 15:31:51
2591,live,0,2021-05-10 17:52:36,6869,America/Toronto,,,,,,,,,,,,,,,1,2021-05-23 16:57:12,2025-06-26 16:10:24
2591,live,0,2021-05-10 17:52:36,6888,America/Toronto,,,,,,,,,,,,,,,1,2021-05-23 16:57:19,2021-12-13 17:39:59
2591,live,0,2021-05-10 17:52:36,6892,America/Toronto,,,,,,,,,,,,,,,1,2021-05-23 16:57:20,2022-01-20 17:47:39
2591,live,0,2021-05-10 17:52:36,6966,America/Edmonton,,,,,,,,,,,,,,,1,2021-05-23 16:57:40,2022-01-05 01:07:21
2591,live,0,2021-05-10 17:52:36,6978,America/Vancouver,,,,,,,,,,,,,,,1,2021-05-23 16:57:44,2025-07-10 19:59:35
2591,live,0,2021-05-10 17:52:36,7041,America/Toronto,,,,,,,,,,,,,,,1,2021-05-23 16:58:12,2022-05-25 19:18:46
2591,live,0,2021-05-10 17:52:36,7045,America/Toronto,,,,,,,,,,,,,,,1,2021-05-23 16:58:14,2021-12-13 17:40:08
2591,live,0,2021-05-10 17:52:36,7052,America/Toronto,,,,,,,,,,,,,,,1,2021-05-23 16:58:18,2021-12-13 17:40:08
2591,live,0,2021-05-10 17:52:36,7602,America/Toronto,,,,,,,,,,,,,,,1,2021-06-25 18:25:44,2022-10-26 20:38:34
901,expired,1,2014-05-01 19:33:00,821,America/Montreal,,,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,,,1,2014-01-29 19:43:30,2014-01-30 16:48:17
967,paid,1,2014-03-01 04:25:34,893,America/Regina,,,10:30:00,15:30:00,10:00:00,16:00:00,11:00:00,15:00:00,10:30:00,15:30:00,11:00:00,16:00:00,,,1,2014-03-01 04:25:34,2025-12-29 20:20:08
1292,paid,1,2014-10-22 20:54:00,1261,Europe/Dublin,,,,,10:00:00,19:00:00,10:00:00,16:30:00,10:00:00,19:00:00,10:00:00,16:30:00,09:00:00,15:00:00,1,2014-10-22 20:54:22,2025-04-08 13:38:02
